ac_number,ac_name,part_number,station_name,file_name
03,MANEYBONG DENTAM,15,"GOVT. PRY. SCHOOL , LIDUNG",sikkim_pdfs/03_015.pdf
03,MANEYBONG DENTAM,16,"GOVT. PRY. SCHOOL , DENTAMTAR",sikkim_pdfs/03_016.pdf
03,MANEYBONG DENTAM,17,HEE-PECHEREK PANCHAYAT HOUSE ROOM NO. I,sikkim_pdfs/03_017.pdf
03,MANEYBONG DENTAM,18,HEE-PECHEREK PANCHAYAT HOUSE ROOM NO. II,sikkim_pdfs/03_018.pdf
03,MANEYBONG DENTAM,19,"GOVT. JR. HIGH SCHOOL, SOPHAKA",sikkim_pdfs/03_019.pdf
03,MANEYBONG DENTAM,20,"GOVT. JR. HIGH SCHOOL, BURUL SINGTAM",sikkim_pdfs/03_020.pdf
03,MANEYBONG DENTAM,21,"GOVT. JR. HIGH SCHOOL, SARDONG",sikkim_pdfs/03_021.pdf
03,MANEYBONG DENTAM,22,"GOVT. PRY. SCHOOL, AMBOTEY",sikkim_pdfs/03_022.pdf
04,GYALSHING BARNYAK,1,"GOVT. JR. HIGH SCHOOL, OMCHUCNG.",sikkim_pdfs/04_001.pdf
04,GYALSHING BARNYAK,2,"COMMUNITY HALL, GYALSHING ROOM NO.II",sikkim_pdfs/04_002.pdf
04,GYALSHING BARNYAK,3,"GOVT. SEC. SCHOOL, MIDDLE GYALSHING",sikkim_pdfs/04_003.pdf
04,GYALSHING BARNYAK,4,GOVT. PRY SCHOOL MEGYONG,sikkim_pdfs/04_004.pdf
04,GYALSHING BARNYAK,5,"GOVT. SEC. SCHOOL, YANGSUM ROOM NO. I",sikkim_pdfs/04_005.pdf
04,GYALSHING BARNYAK,6,"GOVT. SEC. SCHOOL, YANGSUM ROOM NO. II",sikkim_pdfs/04_006.pdf
04,GYALSHING BARNYAK,7,"GOVT. JR. HIGH SCHOOL, LOWER BERMIOK",sikkim_pdfs/04_007.pdf
04,GYALSHING BARNYAK,8,PECHEREK MARTAM PANCHAYAT HOUSE ROOM NO. I,sikkim_pdfs/04_008.pdf
04,GYALSHING BARNYAK,9,PECHEREK MARTAM PANCHAYAT HOUSE ROOM NO. II,sikkim_pdfs/04_009.pdf
04,GYALSHING BARNYAK,10,"GOVT. SEC SCHOOL, BERMIOK MARTAM ROOM NO. I",sikkim_pdfs/04_010.pdf
04,GYALSHING BARNYAK,11,"GOVT. SEC SCHOOL, BERMIOK MARTAM ROOM NO. II",sikkim_pdfs/04_011.pdf
04,GYALSHING BARNYAK,12,"GOVT. JR. HIGH SCHOOL, HEE PATAL",sikkim_pdfs/04_012.pdf
