district_name,ac_number,ac_name,poll_station_number,filename
Tripura West (GEN),4,Barjala (SC),28,tripura_pdfs/ac0040028.pdf
Tripura West (GEN),4,Barjala (SC),29,tripura_pdfs/ac0040029.pdf
Tripura West (GEN),4,Barjala (SC),30,tripura_pdfs/ac0040030.pdf
Tripura West (GEN),4,Barjala (SC),31,tripura_pdfs/ac0040031.pdf
Tripura West (GEN),4,Barjala (SC),32,tripura_pdfs/ac0040032.pdf
Tripura West (GEN),4,Barjala (SC),33,tripura_pdfs/ac0040033.pdf
Tripura West (GEN),4,Barjala (SC),34,tripura_pdfs/ac0040034.pdf
Tripura West (GEN),4,Barjala (SC),35,tripura_pdfs/ac0040035.pdf
Tripura West (GEN),4,Barjala (SC),36,tripura_pdfs/ac0040036.pdf
Tripura West (GEN),4,Barjala (SC),37,tripura_pdfs/ac0040037.pdf
Tripura West (GEN),4,Barjala (SC),38,tripura_pdfs/ac0040038.pdf
Tripura West (GEN),4,Barjala (SC),39,tripura_pdfs/ac0040039.pdf
Tripura West (GEN),4,Barjala (SC),40,tripura_pdfs/ac0040040.pdf
Tripura West (GEN),4,Barjala (SC),41,tripura_pdfs/ac0040041.pdf
Tripura West (GEN),4,Barjala (SC),42,tripura_pdfs/ac0040042.pdf
Tripura West (GEN),4,Barjala (SC),43,tripura_pdfs/ac0040043.pdf
Tripura West (GEN),4,Barjala (SC),44,tripura_pdfs/ac0040044.pdf
Tripura West (GEN),4,Barjala (SC),45,tripura_pdfs/ac0040045.pdf
Tripura West (GEN),4,Barjala (SC),46,tripura_pdfs/ac0040046.pdf
Tripura West (GEN),4,Barjala (SC),47,tripura_pdfs/ac0040047.pdf
Tripura West (GEN),4,Barjala (SC),48,tripura_pdfs/ac0040048.pdf
Tripura West (GEN),5,Khayerpur (Gen),1,tripura_pdfs/ac0050001.pdf
Tripura West (GEN),5,Khayerpur (Gen),2,tripura_pdfs/ac0050002.pdf
Tripura West (GEN),5,Khayerpur (Gen),3,tripura_pdfs/ac0050003.pdf
Tripura West (GEN),5,Khayerpur (Gen),4,tripura_pdfs/ac0050004.pdf
Tripura West (GEN),5,Khayerpur (Gen),5,tripura_pdfs/ac0050005.pdf
Tripura West (GEN),5,Khayerpur (Gen),6,tripura_pdfs/ac0050006.pdf
Tripura West (GEN),5,Khayerpur (Gen),7,tripura_pdfs/ac0050007.pdf
Tripura West (GEN),5,Khayerpur (Gen),8,tripura_pdfs/ac0050008.pdf
Tripura West (GEN),5,Khayerpur (Gen),9,tripura_pdfs/ac0050009.pdf
Tripura West (GEN),5,Khayerpur (Gen),10,tripura_pdfs/ac0050010.pdf
Tripura West (GEN),5,Khayerpur (Gen),11,tripura_pdfs/ac0050011.pdf
Tripura West (GEN),5,Khayerpur (Gen),12,tripura_pdfs/ac0050012.pdf
Tripura West (GEN),5,Khayerpur (Gen),13,tripura_pdfs/ac0050013.pdf
Tripura West (GEN),5,Khayerpur (Gen),14,tripura_pdfs/ac0050014.pdf
Tripura West (GEN),5,Khayerpur (Gen),15,tripura_pdfs/ac0050015.pdf
Tripura West (GEN),5,Khayerpur (Gen),16,tripura_pdfs/ac0050016.pdf
