district,leg_assembly,polling_station_name,file_name
1 - MAMIT,3 - Mamit(ST),3/2 Chilui,mizoram_pdfs/AC003PART002.pdf
1 - MAMIT,3 - Mamit(ST),3/3 Tlangkhang,mizoram_pdfs/AC003PART003.pdf
1 - MAMIT,3 - Mamit(ST),3/4 Damdiai,mizoram_pdfs/AC003PART004.pdf
1 - MAMIT,3 - Mamit(ST),3/5 Vawngawnzo,mizoram_pdfs/AC003PART005.pdf
1 - MAMIT,3 - Mamit(ST),3/6 N. Sabual,mizoram_pdfs/AC003PART006.pdf
1 - MAMIT,3 - Mamit(ST),3/7 Mamit Hmarveng,mizoram_pdfs/AC003PART007.pdf
1 - MAMIT,3 - Mamit(ST),3/8 Mamit Venghlun,mizoram_pdfs/AC003PART008.pdf
1 - MAMIT,3 - Mamit(ST),3/9 Mamit Bazar Veng,mizoram_pdfs/AC003PART009.pdf
1 - MAMIT,3 - Mamit(ST),3/10 Mamit Hmunsam,mizoram_pdfs/AC003PART010.pdf
1 - MAMIT,3 - Mamit(ST),3/11 Mamit H/S veng,mizoram_pdfs/AC003PART011.pdf
1 - MAMIT,3 - Mamit(ST),3/12 New Mamit,mizoram_pdfs/AC003PART012.pdf
1 - MAMIT,3 - Mamit(ST),3/13 Mamit Luangpawl,mizoram_pdfs/AC003PART013.pdf
1 - MAMIT,3 - Mamit(ST),3/14 Phaizau,mizoram_pdfs/AC003PART014.pdf
1 - MAMIT,3 - Mamit(ST),3/15 Bawngva,mizoram_pdfs/AC003PART015.pdf
1 - MAMIT,3 - Mamit(ST),3/16 Nalzawl,mizoram_pdfs/AC003PART016.pdf
1 - MAMIT,3 - Mamit(ST),3/17 Tuirum,mizoram_pdfs/AC003PART017.pdf
1 - MAMIT,3 - Mamit(ST),3/18 Damparengpui I,mizoram_pdfs/AC003PART018.pdf
1 - MAMIT,3 - Mamit(ST),3/19 Damparengpui II,mizoram_pdfs/AC003PART019.pdf
1 - MAMIT,3 - Mamit(ST),3/20 Teirei Forest,mizoram_pdfs/AC003PART020.pdf
1 - MAMIT,3 - Mamit(ST),3/21 Tuipuibari I,mizoram_pdfs/AC003PART021.pdf
1 - MAMIT,3 - Mamit(ST),3/22 Tuipuibari II,mizoram_pdfs/AC003PART022.pdf
1 - MAMIT,3 - Mamit(ST),3/23 Rajiv Nagar I,mizoram_pdfs/AC003PART023.pdf
1 - MAMIT,3 - Mamit(ST),3/24Rajiv Nagar II,mizoram_pdfs/AC003PART024.pdf
1 - MAMIT,3 - Mamit(ST),3/25 Rajiv Nagar III,mizoram_pdfs/AC003PART025.pdf
1 - MAMIT,3 - Mamit(ST),3/26 Khantlang,mizoram_pdfs/AC003PART026.pdf
1 - MAMIT,3 - Mamit(ST),3/27 Andermanik,mizoram_pdfs/AC003PART027.pdf
1 - MAMIT,3 - Mamit(ST),3/28 Khawhnai,mizoram_pdfs/AC003PART028.pdf
1 - MAMIT,3 - Mamit(ST),3/29 Dampui,mizoram_pdfs/AC003PART029.pdf
1 - MAMIT,3 - Mamit(ST),3/30 Dapchhuah,mizoram_pdfs/AC003PART030.pdf
1 - MAMIT,3 - Mamit(ST),3/31 Rawpuichhip,mizoram_pdfs/AC003PART031.pdf
1 - MAMIT,3 - Mamit(ST),3/32 Rawpuichhip II,mizoram_pdfs/AC003PART032.pdf
1 - MAMIT,3 - Mamit(ST),3/33 Hmunpui,mizoram_pdfs/AC003PART033.pdf
1 - MAMIT,3 - Mamit(ST),3/34 Dilzawl,mizoram_pdfs/AC003PART034.pdf
1 - MAMIT,3 - Mamit(ST),3/35 W. Serzawl,mizoram_pdfs/AC003PART035.pdf
1 - MAMIT,3 - Mamit(ST),3/36 Lengpui I,mizoram_pdfs/AC003PART036.pdf
1 - MAMIT,3 - Mamit(ST),3/37 Lengpui II,mizoram_pdfs/AC003PART037.pdf
1 - MAMIT,3 - Mamit(ST),3/38 Lengpui III,mizoram_pdfs/AC003PART038.pdf
1 - MAMIT,3 - Mamit(ST),3/39 Lengte,mizoram_pdfs/AC003PART039.pdf
1 - MAMIT,3 - Mamit(ST),3/40 Nghalchawm,mizoram_pdfs/AC003PART040.pdf
1 - MAMIT,3 - Mamit(ST),3/Summary,mizoram_pdfs/AC003.pdf
2 - KOLASIB,4 - Tuirial(ST),4/1 Lungdai I,mizoram_pdfs/AC004PART001.pdf
2 - KOLASIB,4 - Tuirial(ST),4/2 Lungdai II,mizoram_pdfs/AC004PART002.pdf
2 - KOLASIB,4 - Tuirial(ST),4/3 Sentlang,mizoram_pdfs/AC004PART003.pdf
2 - KOLASIB,4 - Tuirial(ST),4/4 Mualkhang,mizoram_pdfs/AC004PART004.pdf
2 - KOLASIB,4 - Tuirial(ST),4/5 Serkhan,mizoram_pdfs/AC004PART005.pdf
