constituency_name,part_no,poll_station_name,area_covered,file_name_en,file_name_ta
MANNADIPET,01/21,"GOVT. HIGH SCHOOL  - EAST, REDDIYAR STREET, KODATHUR, PUDUCHERRY-605501

","PUDHU NAGAR-1ST PET, KODATHUR PET, PUDUCHERRY-605501

PUTHU NAGAR-2ND PET, KODATHUR PET, PUDUCHERRY-605501

PILLAIYAR KOIL STREET, KODATHUR, PUDUCHERRY-605501

NAGATHAMMAN KOIL ST., KODATHUR PET, PUDUCHERRY - 605501

MARIAMMAN KOIL ST., KODATHURPET, PUDUCHERRY - 605501.

T.V. MALAI ROAD, KODATHUR, PUDUCHERRY - 605501

MAIN ROAD, JAYA NAGAR, KODATHUR, PUDUCHERRY - 605501

DHANALAKSHMI NAGAR, KODATHUR, PUDUCHERRY - 605501",eng_01_21.pdf,tam_01_21.pdf
MANNADIPET,01/22,"GOVT. HIGH SCHOOL  - WEST, REDDIYAR STREET, KODATHUR, PUDUCHERRY-605501

","REDDIYAR STREET, KODATHUR, PUDUCHERRY-605501

MARIAMMAN KOIL STREET, KODATHUR, PUDUCHERRY-605501

ANNA STREET, KODATHUR, PUDUCHERRY-605501

MIDDLE STREET, KODATHUR, PUDUCHERRY-605501

RAJIV GANDHI NAGAR, KODATHUR, PUDUCHERRY-605501

THOTTI THERU, KODATHUR, PUDUCHERRY-605501

PUDHU NAGAR, KODATHUR, PUDUCHERRY - 605501.",eng_01_22.pdf,tam_01_22.pdf
MANNADIPET,01/23,"GOVT. PRIMARY SCHOOL, NORTH STREET, KAIKILAPATTU., PUDUCHERRY-605501

","NORTH STREET, KAIKILAPATTU., PUDUCHERRY-605501

WEST STREET, KAIKILAPATTU., PUDUCHERRY-605501

EAST STREET, KAIKILAPATTU., PUDUCHERRY-605501

KAIKILAPATTU PET PUTHU NAGAR, KAIKILAPATTU., PUDUCHERRY-605501

PET MARIAMMAN KOIL STREET, KAIKILAPATTU., PUDUCHERRY-605501

WATER TANK STREET, KAIKKILAPET, PUDUCHERRY - 605501

PILLAIYAR KOIL STREET, KAIKILAPATTU, PUDUCHERRY - 605501",eng_01_23.pdf,tam_01_23.pdf
MANNADIPET,01/24,"GOVT. PRIMARY SCHOOL, SCHOOL STREET, KUMARAPALAYAM, PUDUCHERRY-605502

","MARIAMMAN KOIL ST, KUMARAPALAYAM, PUDUCHERRY-605502

AMMATANKULAM, KUMARAPALAYAM, PUDUCHERRY-605502

SAMIKANNU NAGAR, KUMARAPALAYAM, PUDUCHERRY-605502

NEHRU NAGAR, KUMARAPALAYAM, PUDUCHERRY-605502

SCHOOL STREET, KUMARAPALAYAM, PUDUCHERRY-605502

PILLAIYAR KOIL STREET, KUMARAPALAYAM, PUDUCHERRY-605502

METTU STREET, KUMARAPALAYAM, PUDUCHERRY-605502

MARIAMMANKOIL STREET WEST, KUMARAPALAYAM, PUDUCHERRY-605502

KALIAMMAN KOIL STREET, KUMARAPALAYAM, PUDUCHERRY-605502

TANK STREET, KUMARAPALAYAM, PUDUCHERRY-605502

THETHAMPAKKAM ROAD, KUMARAPALAYAM, PUDUCHERRY-605502

MAIN ROAD, KUMARAPALAYAM, PUDUCHERRY-605502

PUDU NAGAR, KUMARAPALAYAM, PUDUCHERRY - 605502

IST CROSS STREET, NEHRU NAGAR, KUMARAPALAYAM, PUDUCHERRY - 605502.

J.V.R. NAGAR, KUMARAPALAYAM, PUDUCHERRY - 605502

FIRST STREET, J.V.R. NAGAR, KUMARAPALAYAM, PUDUCHERRY - 605502",eng_01_24.pdf,tam_01_24.pdf
MANNADIPET,01/25,"GOVT. PRIMARY SCHOOL, SCHOOL STREET, THETHAMPAKKAM, PUDUCHERRY-605502

","MARIAMMAN KOIL STREET, THATHAMPAKKAM PET, PUDUCHERRY-605502

VALLUVAR STREET, THETHAMPAKKAM, PUDUCHERRY-605502

MARIAMMAN KOIL 2ND STREET, THETHAMPAKKAM PET, PUDUCHERRY-605502

MARIAMMAN KOIL 3RD STREET , THETTAMPAKKAM PET, PUDUCHERRY-605502

PUDHU CROSS STREET, THETHAMPAKKAM PET, PUDUCHERRY-605502

MIDDLE STREET, THETHAMPAKKAM, PUDUCHERRY-605502

CROSS STREET, THETHAMPAKKAM, PUDUCHERRY-605502

MAIN ROAD, THETHAMPAKKAM, PUDUCHERRY-605502

SCHOOL STREET, THETHAMPAKKAM, PUDUCHERRY-605502

AMBETKAR STREET, THETHAMPAKKAM, PUDUCHERRY - 605502

JOTHI LABORATARIES QUARTERS, UJALA NAGAR, THETHAMPAKKAM, PUDUCHERRY - 605502.",eng_01_25.pdf,tam_01_25.pdf
MANNADIPET,01/26,"GOVT. HIGH SCHOOL  - NORTH, MAIN ROAD, SUTHUKENI, PUDUCHERRY-605502

","METTU STREET, SUTHUKENI, PUDUCHERRY-605502

NORTH STREET, SUTHUKENY, PUDUCHERRY-605502

PUDHU NAGAR IICROSS , SUTHUKENY, PUDUCHERRY-605502

PUDHU NAGAR III CROSS, SUTHUKENY, PUDUCHERRY-605502

MAIN ROAD, SUTHUKENI, PUDUCHERRY-605502

PILLAIYAR KOIL STREET, SUTHUKENY, PUDUCHERRY-605502

EAST STREET, SUTHUKENI, PUDUCHERRY-605502

PUTHU NAGAR, SUTHUKENY PET, PUDUCHERRY-605502

PUHDU NAGAR IST CROSS ST, SUHTUKENI PET, PUDUCHERRY-605502

PUTHU NAGAR 2ND CROSS ST, SUTHUKENI PET, PUDUCHERRY-605502

PUDHU NAGAR III CROSS ST., SUTHUKENI PET, PUDUCHERRY-605502

PUTHU NAGAR 4TH CROSS ST, SUTHUKENI PET, PUDUCHERRY-605502

PUDHUNAGAR 5TH CROSS ST., SUTHUKENYPET, PUDUCHERRY-605502

SENGAMEDU PATHAI, SUTHUKENY PET, PUDUCHERRY-605502

THIRUMALAI NAGAR, SUTHUKENY, PUDUCHERRY - 605502.

PUDHU NAGAR STREET, PUDU NAGAR, SUTHUKENI, PUDUCHERRY - 605502.

FIRST STREET, PUDU NAGAR, SUTHUKENY, PUDUCHERRY - 605502.

S.K.R. NAGAR, SUTHUKENY, PUDUCHERRY - 605502",eng_01_26.pdf,tam_01_26.pdf
MANNADIPET,01/27,"GOVT. PRIMARY SCHOOL, MAIN ROAD, SUTHUKENI, PUDUCHERRY-605502

","MARIAMMANKOIL STREET (MAIN ROAD), SUTHUKENY, PUDUCHERRY-605502

MARIYAMMAN KOIL STREET, SUTHUKENY PET, PUDUCHERRY-605502

MARIAMMAN KOIL CROSS ST., SUTHUKENY PET, PUDUCHERRY-605502

PALLAR PALLI STREET, SUTHUKENI PET, PUDUCHERRY-605502

HOSPITAL STREET, SUTHUKENIPET, PUDUCHERRY-605502

AMBETKAR ST., SUTHUKENI PET, PUDUCHERRY - 605502

2ND CROSS ST., AMBETKAR NAGAR, SUTHUKENI, PUDUCHERRY - 605502",eng_01_27.pdf,tam_01_27.pdf
MANNADIPET,01/28,"COMMUNITY HALL, METTU STREET (WEST), PUDHUKUPPAM, PUDUCHERRY-605502

","MARIYAMMAN KOIL STREET, PUDUKUPPAM, PUDUCHERRY-605502

METTU STREET (WEST), PUDHUKUPPAM, PUDUCHERRY-605502

KARNAM STREET, PUDHUKUPPAM, PUDUCHERRY-605502

KAILASHPURAM, PUDHUKUPPAM, PUDUCHERRY-605502

METTU STREET (EAST), PUDHUKUPPAM, PUDUCHERRY-605502

PILLAIYAR KOIL STREET, PUDHUKUPPAM, PUDUCHERRY-605502

PALLA THERU, PUDHUKUPPAM, PUDUCHERRY-605502

K.P.K. NAGAR, SANTHAIPUTHUKUPPAM, PUDCHERRY - 605502

METTU STREET, SATNHAIPUTHUKUPPAM, PUDUCHERRY - 605502",eng_01_28.pdf,tam_01_28.pdf
MANNADIPET,01/29,"GOVT. HIGH SCHOOL, METTU STREET (WEST), PUDHUKUPPAM, PUDUCHERRY-605502

","INDIRA NAGAR MAIN ROAD, PUDHUKUPPAM, PUDUCHERRY-605502

INDIRA NAGAR FIRST STREET, PUDHUKUPPAM, PUDUCHERRY-605502

INDHIRA NAGAR THIRD STREET, PUDHUKUPPAM, PUDUCHERRY-605502

INDIRA NAGAR FOURTH STREET, PUDHUKUPPAM, PUDUCHERRY-605502

AYYANAR KOIL ST.,  SANTHAITHOPPU, PUDHUKUPPAM, PUDUCHERRY-605502

VALUDAVUR ROAD, SANTHAITHOPPU, PUDHUKUPPAM, PUDUCHERRY-605502

MURUGAN KOIL STREET, SANDHAI THOPPU, PUDHUKUPPAM, PUDUCHERRY-605502

SOUTH STREET, SANDHAI THOPPU, PUDUKUPPAM, PUDUCHERRY-605502

PET PILLAIYAR KOIL STREET , PUDUKUPPAM , PUDUCHERRY-605502

OTHAVADAI STREET, PUDHUKUPPAM, PUDUCHERRY-605502

MARIAMMAN KOIL STREET, PUDHUKUPPAM, PUDUCHERRY-605502

PUDHU NAGAR, PUDHUKUPPAM, PUDUCHERRY-605502

PET MARIYAMMAN KOIL STREET, PUDUKUPPAM, PUDUCHERRY-605502

2ND STREET, INDIRA NAGAR, PUTHUKUPPAM, PUDUCHERRY - 605502

MAILAM ROAD, SANTHAIPUTHUKUPPAM, PUDUCHERRY - 605502

VALLALAR NAGAR, SANTHAIPUTHUKUPPAM, PUDUCHERRY - 605502.",eng_01_29.pdf,tam_01_29.pdf
MANNADIPET,01/30,"GOVT. PRIMARY SCHOOL - EAST, SUGAR MILL ROAD, L.R. PALAYAM, PUDUCHERRY-605502

","P.C.S.M. QUARTERS, L.R.PALAYAM, PUDUCHERRY-605502

PERIYA STREET, L.R.PALAYAM, PUDUCHERRY-605502",eng_01_30.pdf,tam_01_30.pdf
